V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q12,Q3,Q14,Q14_TEXT,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_8_TEXT,Q9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q17,Q10,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17,Q16_18,Q16_19,Q11,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,The absence of a formal reporting standard for phylogenetic analyses is a major impediment for digit...,"Are you a producer of trees or a user of trees, or both? ",What is your career stage?,What is your career stage?-TEXT,Select 1-2 terms that best describe your field of study-Systematics,Select 1-2 terms that best describe your field of study-Phylogenetic methods,Select 1-2 terms that best describe your field of study-Biogeography,Select 1-2 terms that best describe your field of study-Ecology,Select 1-2 terms that best describe your field of study-Biodiversity informatics,Select 1-2 terms that best describe your field of study-Taxonomy,Select 1-2 terms that best describe your field of study-Genomics / metagenomics,Select 1-2 terms that best describe your field of study-Other,Select 1-2 terms that best describe your field of study-Other-TEXT,INTERPRETING and EVALUATING TREES,"Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Informative text labels that identify the entity at the tips of the tree","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Identifiers that link a tip to an entity in some external taxonomy or database","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-The source of biological material (tissue, specimen, etc)  for data at the tips","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Rooted vs unrooted topology","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Type of tree estimate: maximum-likelihood, majority-rule consensus, etc.","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Geographic coordinates indicating where specimens were collected","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Branch lengths","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Units for branch lengths (time, expected # of substitutions, etc)","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Data matrix used to infer the tree","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-What method was used to infer the tree (likelihood, parsimony, distance, bayesian, etc)","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Name and version of software used to infer the tree","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Input parameters used to infer the tree","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Support values","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Type of support values (bootstrap, bayesian, etc)","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Full list of samples used to calculate support values","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Alignment method (progressive, iterative, HMM, etc)","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Name and version of software used to align sequences","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Input parameters used to align the data","Please order the following metadata by how important it is to interpret, evaluate, and use trees pro...-Was alignment manually adjusted?",Comments about any of the above elements for evaluating trees? Are there elements missing from this...,PUBLISHING and ARCHIVING TREES,"Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Informative text labels that identify the entity at the tips of the tree","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Identifiers that link a tip to an entity in some external taxonomy or database","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-The source of biological material (tissue, specimen, etc)  for data at the tips","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Rooted vs unrooted topology","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Type of tree estimate: maximum-likelihood, majority-rule consensus, etc.","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Geographic coordinates indicating where specimens were collected","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Branch lengths","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Units for branch lengths (time, expected # of substitutions, etc)","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Data matrix used to infer the tree","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-What method was used to infer the tree (likelihood, parsimony, distance, bayesian, etc)","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Name and version of software used to infer the tree","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Input parameters used to infer the tree","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Support values","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Type of support values (bootstrap, bayesian, etc)","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Full list of samples used to calculate support values","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Alignment method (progressive, iterative, HMM, etc)","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Name and version of software used to align sequences","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Input parameters used to align the data","Thinking about archiving or databasing your trees to make them accessible to other scientists, pleas...-Was alignment manually adjusted?",Comments about providing any of the above elements when databasing / archiving trees? Are there elem...,
R_cTN9WynY5ENhOmx,Default Response Set,Anonymous,,,140.232.222.106,0,2012-08-21 10:44:40,2012-08-21 10:50:46,1,1,3,2,,1,,,1,,1,,,,1,1,3,2,2,1,2,2,2,2,1,2,2,1,1,3,2,2,2,2,Nuber of loci used / Protein or non-protein markers / Number of characters / Ambiguos regions included or nor included / ,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_ebL6qEjb3AWB8vH,Default Response Set,Anonymous,,,89.158.126.194,0,2012-08-23 04:44:51,2012-08-23 04:55:26,1,1,3,2,,,,,,,,1,1,evolution,1,1,2,1,3,1,3,1,1,2,1,1,1,1,1,3,1,1,2,2,"Alignments are often ""filtered"" using a program, eg Gblocks. This filtering step can be critical in the production of the alignement to be used, and should be listed as well. ",1,2,1,1,1,1,,1,1,1,1,1,1,2,1,2,1,1,1,1,"Same comment as above : Alignments are often ""filtered"" using a program, eg Gblocks. This filtering step can be critical in the production of the alignement to be used, and should be listed as well. ",
R_6V8Ghe5LlWzzUPP,Default Response Set,Anonymous,,,46.20.43.194,0,2012-08-23 04:51:07,2012-08-23 04:58:00,1,1,3,3,,,1,,,1,,,,,1,1,2,3,1,1,3,1,1,1,1,2,1,2,2,2,2,2,2,1,,1,2,3,2,1,1,3,1,1,1,1,1,1,3,3,3,2,2,2,1,,
R_a90a7kjw5IKRpzL,Default Response Set,Anonymous,,,174.63.85.122,0,2012-08-23 04:57:31,2012-08-23 04:59:58,1,1,3,1,,,1,,,,,1,,,1,1,3,2,3,3,3,1,1,3,3,3,1,2,2,3,1,3,1,1,,1,,,,,,,,,,,,,,,,,,,,,
R_cBfOgPUeeWLROQt,Default Response Set,Anonymous,,,134.76.137.136,0,2012-08-23 04:59:17,2012-08-23 05:02:50,1,1,3,3,,,1,,,,,1,,,1,1,3,3,1,1,3,1,2,1,1,1,2,1,1,3,3,3,3,3,,1,1,3,3,1,1,3,1,1,1,1,1,1,1,1,2,3,3,3,3,,
R_erHJvxYzmrhYuIl,Default Response Set,Anonymous,,,129.67.25.225,0,2012-08-23 05:02:50,2012-08-23 05:06:05,1,1,3,,,1,1,,,1,,1,,,1,1,2,3,3,1,2,1,1,3,1,2,2,1,1,3,1,2,2,1,"Diversity of methods, do not stick only to one",1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_cuVpRRNNjqTjtvT,Default Response Set,Anonymous,,,134.219.41.210,0,2012-08-23 05:02:26,2012-08-23 05:06:15,1,1,3,1,,1,,1,1,,,1,,,1,2,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,,1,2,2,2,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,1,,
R_bm85XwwqeCaEElL,Default Response Set,Anonymous,,,130.229.48.134,0,2012-08-23 05:02:50,2012-08-23 05:07:12,1,1,3,2,,,,,,1,,1,,,1,1,2,3,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,,1,1,1,3,2,2,3,1,2,1,2,2,2,1,2,3,2,2,2,2,,
R_4GVMe7xxoHFXoEt,Default Response Set,Anonymous,,,129.31.246.240,0,2012-08-23 05:09:32,2012-08-23 05:17:46,1,1,3,2,,,,1,1,,,,,,1,1,3,3,2,1,2,1,1,1,1,2,2,1,1,2,3,3,3,3,,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_2bNtclEUQEdjrGR,Default Response Set,Anonymous,,,84.13.121.207,0,2012-08-23 05:18:00,2012-08-23 05:21:27,1,1,1,3,,,,,,,,,1,Virology,1,1,3,3,2,1,3,1,1,3,1,1,1,1,1,1,1,1,2,2,,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_a5XpKUmENeSjEFL,Default Response Set,Anonymous,,,91.64.132.140,0,2012-08-23 05:13:13,2012-08-23 05:26:28,1,1,3,4,Independent Heisenberg-Fellow,,,,,,1,,1,Speciation and Evolution,1,3,3,3,2,1,2,3,3,2,1,2,1,1,1,2,2,2,2,2,,1,3,3,3,2,1,1,2,3,2,1,2,1,1,1,2,2,2,2,2,"As it often depends on context, the decisions appear partly hard to generalize from",
R_0wZERpMxrTR82iN,Default Response Set,Anonymous,,,82.121.31.253,0,2012-08-23 05:26:47,2012-08-23 05:29:08,1,1,2,1,,,1,,1,,,,,,1,2,2,2,3,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
R_ewWSLIxH7gxeUu1,Default Response Set,Anonymous,,,161.111.229.166,0,2012-08-23 05:29:26,2012-08-23 05:33:58,1,1,3,3,,,1,1,,,,,,,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,,1,1,2,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,,
R_8iCXQY5V8SG1M3P,Default Response Set,Anonymous,,,212.33.92.135,0,2012-08-23 05:33:33,2012-08-23 05:37:38,1,1,3,2,,,1,,,,,,,,1,1,1,1,3,3,1,3,3,3,3,2,3,1,2,1,3,3,2,1,,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,,
R_1FUk3SPPMavlz3T,Default Response Set,Anonymous,,,130.120.205.23,0,2012-08-23 05:32:15,2012-08-23 05:37:42,1,1,3,2,,,1,1,1,,,,,,1,1,3,3,1,1,3,1,1,3,1,1,2,1,1,3,3,3,3,3,"For time-calibrated trees, confidence intervals as well as calibration information (what fossils were used, what molecular rate was used) seem important because they greatly influence the results and their interpretation along with the confidence one puts into the results.",1,,,,,,,,,,,,,,,,,,,,,
R_3BIIfOf7ZqXT0PP,Default Response Set,Anonymous,,,77.211.131.109,0,2012-08-23 05:34:21,2012-08-23 05:38:28,1,1,1,3,,,1,,,,,1,,,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,"Ideally, any external researcher should be able of reproducing the same tree given the same initial information. Everything necessary for this should be made available for interested researchers",1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_06QYoyFCaS3ecuh,Default Response Set,Anonymous,,,156.18.32.16,0,2012-08-23 05:35:38,2012-08-23 05:45:19,1,1,3,3,,,,,,,,,1,evolutionary biology,1,1,2,2,1,1,2,3,1,3,1,1,1,1,1,2,1,1,1,1,- alignment quality evaluation by dedicated programme / - site selection for the phylogeny reconstruction and method/approach used,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_8phStw3ysrPUZx3,Default Response Set,Anonymous,,,213.39.236.139,0,2012-08-23 05:02:38,2012-08-23 05:47:26,1,1,3,4,Staff Scientist,1,,,1,,,,1,population genetics,1,1,3,1,2,1,1,2,1,1,1,1,3,1,1,,1,1,3,2,"1) The model used in reconstruction is critical for me (GTR, I, Dollo, ...), its parameters are useful. / 2) Not sure what you mean by ""Full list of samples used to calculate support values"". I normally don't use existing bootstrap datasets/plateau data, but would produce them myself if they are needed. / 3) Are you considering networks, too?",1,1,3,3,1,1,3,1,2,1,1,1,1,1,1,,2,2,2,2,The ratings will depend on the software you use and your personal data management.,
R_5iO7NzUR4DoRrcV,Default Response Set,Anonymous,,,150.237.85.248,0,2012-08-23 05:55:35,2012-08-23 05:58:53,1,1,3,3,,,,,,,,1,,,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,3,3,3,3,1,,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
R_5BcoSFf34KZIj2d,Default Response Set,Anonymous,,,81.102.143.69,0,2012-08-23 05:54:53,2012-08-23 06:01:32,1,1,3,1,,,,1,,,,1,,,1,1,1,2,1,1,3,2,2,3,1,1,1,1,1,3,2,2,2,1,"In the instance of ML, what model was used and how it was determined that it was appropriate.",1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,,
R_3kCEsPRiuZunUFL,Default Response Set,Anonymous,,,129.215.181.49,0,2012-08-23 06:16:18,2012-08-23 06:19:04,1,1,3,3,,,,,,,,1,1,Population genetics,1,1,3,2,3,1,3,1,1,3,1,2,1,1,1,3,2,2,2,2,,1,1,2,3,1,1,3,1,1,2,1,1,1,1,1,2,1,1,3,1,,
R_4Meb1s43Zm21ebb,Default Response Set,Anonymous,,,24.162.255.212,0,2012-08-23 06:48:07,2012-08-23 06:53:48,1,1,3,2,,,,,,,,,1,Evolutionary genetics,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,3,2,2,3,1,,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,3,1,1,2,1,,
R_071efG94GKeuQ29,Default Response Set,Anonymous,,,132.229.34.99,0,2012-08-23 07:41:55,2012-08-23 07:47:14,1,1,3,3,,1,,1,,,1,,,,1,1,2,2,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,,1,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,,
R_8CSnbQbUX6r816t,Default Response Set,Anonymous,,,193.205.5.2,0,2012-08-23 08:03:57,2012-08-23 08:07:37,1,1,1,2,,,,1,,,,1,,,1,1,3,2,1,1,2,1,1,1,1,2,2,1,1,3,2,2,2,2,,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,2,1,2,1,,
R_elpbIabu9cqxazb,Default Response Set,Anonymous,,,69.74.186.251,0,2012-08-23 08:14:02,2012-08-23 08:17:47,1,1,3,3,,1,,,,,1,,,,1,1,3,1,3,1,3,2,3,2,2,3,2,2,2,3,2,3,3,2,,1,1,3,2,1,1,2,1,2,1,1,2,2,1,1,2,2,2,2,2,,
R_ewATlbpfaHsEJpz,Default Response Set,Anonymous,,,200.24.16.65,0,2012-08-23 08:24:54,2012-08-23 08:30:06,1,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
R_56dvyQsGNiS9Byt,Default Response Set,Anonymous,,,134.96.155.211,0,2012-08-23 08:32:25,2012-08-23 08:36:55,1,1,3,3,,,,,,,,1,,,1,1,3,3,3,1,3,2,2,3,1,2,1,1,1,2,2,2,2,1,,1,1,3,3,3,1,3,2,2,2,1,2,1,1,1,2,2,2,2,1,,
R_9oxBJEN2DCfmi69,Default Response Set,Anonymous,,,128.192.8.194,0,2012-08-23 08:40:49,2012-08-23 08:44:05,1,1,3,3,,,,1,,1,,,,,1,1,2,3,3,1,2,1,1,3,1,2,2,1,1,2,1,2,2,2,,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,,
R_6sQLUcs7Ev7WXVb,Default Response Set,Anonymous,,,208.250.69.26,0,2012-08-23 08:47:50,2012-08-23 08:50:53,1,1,3,2,,,1,,,,1,1,,,1,1,2,3,3,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_8phGRi7BnF0FFzf,Default Response Set,Anonymous,,,160.36.155.86,0,2012-08-23 08:48:26,2012-08-23 08:55:04,1,1,3,2,,1,,,,,,,,,1,1,2,2,3,2,2,1,1,2,2,3,3,2,2,3,3,3,3,3,,1,1,3,2,1,1,3,1,1,1,1,2,2,1,1,3,2,2,2,1,,
R_5hi1c1NtgB8QS5T,Default Response Set,Anonymous,,,129.252.139.194,0,2012-08-23 08:54:15,2012-08-23 09:01:17,1,1,3,2,,,,,,,,1,1,gene family evolution,1,1,3,3,3,1,2,1,1,2,1,2,1,1,1,3,1,1,1,1,,1,1,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_4TlvRR2j2rQvAeF,Default Response Set,Anonymous,,,137.99.69.112,0,2012-08-23 07:30:28,2012-08-23 09:14:05,1,1,3,2,,1,,1,,,,,,,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,3,3,3,3,3,,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,3,2,2,2,2,,
R_3w0BzNvy9CWSae9,Default Response Set,Anonymous,,,139.78.154.248,0,2012-08-23 09:09:27,2012-08-23 09:15:25,1,1,3,3,,1,,,,,,1,,,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,"If relative or absolute dates are reported, elements related to these estimates should be included.",1,1,2,2,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,,
R_5uOx0MnO6ZSytdX,Default Response Set,Anonymous,,,160.111.254.17,0,2012-08-23 09:20:10,2012-08-23 09:22:37,1,1,3,1,,,1,,,,,1,,,1,1,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_eKCxOWYQRciEIQt,Default Response Set,Anonymous,,,65.19.22.214,0,2012-08-23 09:13:35,2012-08-23 09:24:48,1,1,3,3,,,,,,1,,,1,epidemiology,1,1,2,3,3,3,3,1,1,2,1,3,3,3,3,3,3,3,3,3,"Most problems I see in trees are due to input data and alignment issues, but most reviewers focus on methods (maximun likelihood vs neighbor-joining, requesting bootstrap etc).  ",1,1,2,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,"It's really impossible to answer those questions the same for all data types.  For a radily evolving and globally spreading virus, the date is critical and location perhaps not useful.  For some bacteria and viruses, the host or tissue type of sample is important.  For plants the elevation might be critical, or depth of sample in the ocean. / For all, providing the actual sequence alignment used, and having that alignment provide links to the database (CenBank accession number, for example) is the best way to go.  Providing all the information in tip labels is too much for drawing most trees to publication size and quality.",
R_3P0rOuZqbhTQQw5,Default Response Set,Anonymous,,,128.194.231.54,0,2012-08-23 09:27:18,2012-08-23 09:33:40,1,1,1,3,,1,,,,,,,,,1,1,1,2,1,1,3,2,2,3,1,1,2,1,1,2,2,2,2,2,All of the above information is important to be included in the respective publication.  Not all of it need to be depicted on the specific tree.,1,1,3,1,1,1,3,2,2,3,1,1,2,1,1,2,2,1,3,1,,
R_3ehEdU62Tl0qOZD,Default Response Set,Anonymous,,,63.140.186.66,0,2012-08-23 09:54:48,2012-08-23 10:02:54,1,1,3,2,,,1,,,,,1,,,1,1,2,3,1,1,3,2,1,2,1,1,2,1,1,2,2,2,2,2,It is not uncommon to find an article that makes the phylogenetic data available in pdf format.  This is useful for viewing a tree but almost useless for analyzing a tree with software.    Phylogenetic data should be made available in nexus or newick format.,1,1,2,3,1,1,3,2,2,,1,1,1,1,1,2,1,1,1,1,,
R_dnm1mTy14FbjtJP,Default Response Set,Anonymous,,,134.34.212.228,0,2012-08-23 09:59:46,2012-08-23 10:04:05,1,1,3,2,,,,,,,,,1,Evolutionary biology,1,1,3,3,2,1,3,1,2,3,1,1,1,1,1,3,2,2,2,2,,1,1,3,2,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,2,,
R_6ioagzgE1jaCHNH,Default Response Set,Anonymous,,,192.134.152.182,0,2012-08-23 10:27:23,2012-08-23 10:33:14,1,1,3,3,,1,,,,,,1,,,1,1,3,1,1,1,3,3,3,2,1,2,2,3,3,3,1,2,2,2,,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,,
