V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q12,Q3,Q14,Q14_TEXT,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_8_TEXT,Q9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q17,Q10,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17,Q16_18,Q16_19,Q11,
R_037eZL45Qc0oKoZ,Default Response Set,Anonymous,,,24.10.90.252,0,2012-08-23 10:22:32,2012-08-23 10:40:34,1,1,3,3,,1,,,,,,1,,,1,1,3,2,2,1,2,2,2,2,1,1,2,1,1,3,2,1,2,2,,1,1,1,2,1,1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,,
R_cI0BvJDk1NMKnB3,Default Response Set,Anonymous,,,193.40.8.24,0,2012-08-23 10:35:35,2012-08-23 10:42:10,1,1,3,1,,1,,,,,1,,,,1,1,1,3,1,1,2,1,1,,1,1,3,1,1,3,1,1,3,1,,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,3,1,1,2,1,,
R_bfJ7CSdDBKQT2mx,Default Response Set,Anonymous,,,140.247.98.53,0,2012-08-23 10:38:07,2012-08-23 10:50:37,1,1,2,3,,,,,,1,,,,,1,1,1,1,1,,1,2,2,1,3,3,3,3,3,3,3,3,3,3,"For provenance metadata, the impending W3C PROV ontology should perhaps be used to express it.  http://www.w3.org/TR/prov-o/ / More generally of course standard metadata ontologies should be used wherever reasonable.",1,,,,,,,,,,,,,,,,,,,,"I don't do any publishing or archiving, but if I did, all of them would be ""Easy"".  For archiving, and probably for publishing, these questions are not about the metadata items. They are about the strength of the programmer who has to implement them.  At worst, the work would be unambiguously publishing the metadata, which is difficult only if there are hidden semantic linkages between the metadata. Without knowing about that---which I don't---probably no answers to this section are reliable.",
R_dna4ywHTjj6ZYbj,Default Response Set,Anonymous,,,130.39.114.93,0,2012-08-23 10:45:10,2012-08-23 10:52:03,1,1,3,1,,,1,,,,,1,,,1,1,3,3,2,3,1,1,2,2,1,3,1,1,2,2,2,2,1,1,,1,1,2,1,3,3,2,3,3,1,2,1,1,2,2,1,3,1,1,3,,
R_3ftwAM7gaAedtJP,Default Response Set,Anonymous,,,199.133.188.61,0,2012-08-23 10:46:56,2012-08-23 10:52:57,1,1,3,4,Professional researcher,,1,,,1,,,,,1,1,3,3,1,1,3,1,1,1,1,1,1,1,1,3,2,2,2,2,,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,"I don't really know what ""Full list of samples used to calculate support values"" means.",
R_3UYRRNojhiA0nkh,Default Response Set,Anonymous,,,141.211.153.81,0,2012-08-23 10:55:59,2012-08-23 10:59:31,1,1,3,2,,1,1,,,,,,,,1,1,2,2,3,1,2,1,1,2,2,2,2,1,1,2,3,2,3,3,,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,,
R_cwOONyWQ8K1PwZ7,Default Response Set,Anonymous,,,174.7.186.169,0,2012-08-23 11:03:50,2012-08-23 11:12:00,1,1,3,3,,1,1,1,,,,,,,1,,1,2,1,2,3,3,1,3,3,3,3,3,1,3,3,3,3,3,taxonomic names of internal nodes (clades) / phylogenetic definitions of names (internal and leaf),1,1,2,2,1,1,3,1,1,2,1,1,1,1,1,3,1,1,1,1,for some of the items the answer is 'it depends' - I marked them medium,
R_cBAu7XmJRKT7bzD,Default Response Set,Anonymous,,,128.143.175.78,0,2012-08-23 11:12:44,2012-08-23 11:15:33,1,1,3,2,,,,,,,,1,,,1,1,3,2,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,,
R_cJ71cXMDJEW0hKZ,Default Response Set,Anonymous,,,161.116.100.92,0,2012-08-23 11:12:31,2012-08-23 11:27:23,1,1,3,3,,1,,1,,,,,,,1,1,2,2,3,1,2,1,1,3,2,3,2,1,1,3,3,3,3,3,,1,2,2,2,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,,
R_40A2PxwdTl5PWEl,Default Response Set,Anonymous,,,152.3.59.111,0,2012-08-23 11:34:07,2012-08-23 11:37:22,1,1,3,2,,1,1,,,,,,,,1,1,3,2,3,1,3,2,2,1,2,2,2,3,3,3,1,1,1,1,,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,Some of us still use our eyes (and no algorithms) to align sequences. ,
R_9o7bnt1cm0VIdtr,Default Response Set,Anonymous,,,200.57.48.43,0,2012-08-23 11:42:42,2012-08-23 11:50:39,1,1,3,3,,1,1,1,,1,1,,,,1,1,2,3,1,1,3,2,3,1,1,1,1,2,2,2,1,2,2,1,,1,2,2,2,1,1,2,3,3,1,1,1,1,2,1,2,1,1,1,1,,
R_cHlfRWkNDANn8bz,Default Response Set,Anonymous,,,128.114.102.102,0,2012-08-23 11:54:25,2012-08-23 12:08:19,1,1,3,4,Researcher,,,1,,,,,1,Molecular Ecology,1,1,3,2,1,1,3,2,2,3,1,2,2,1,1,3,3,3,3,3,,1,2,3,2,1,1,2,1,1,2,2,2,2,1,1,3,,,,,,
R_0kCELEyywZuPQLH,Default Response Set,Anonymous,,,128.227.105.242,0,2012-08-23 12:15:19,2012-08-23 12:21:19,1,1,3,1,,,1,,,,,1,,,1,1,3,3,3,1,3,1,1,1,1,2,1,2,2,3,2,3,2,3,,1,1,3,3,1,1,3,2,2,1,1,1,1,2,1,2,2,1,1,1,,
R_0xPyIiK489L3CvP,Default Response Set,Anonymous,,,129.173.66.224,0,2012-08-23 12:21:25,2012-08-23 12:24:12,1,1,3,2,,,,,,1,,1,,,1,1,2,3,3,2,2,1,1,2,1,3,2,1,1,3,2,3,3,1,,1,2,3,1,2,1,2,1,1,1,1,1,2,2,2,3,2,1,2,2,,
R_6KyWSejDxpKsMvz,Default Response Set,Anonymous,,,193.137.39.4,0,2012-08-23 12:55:21,2012-08-23 12:58:47,1,1,3,1,,,1,1,,,,,,,1,1,2,1,3,2,1,2,2,3,2,3,3,1,1,3,3,3,3,3,,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,,
R_eKI8KdWJZakvwUJ,Default Response Set,Anonymous,,,130.39.127.27,0,2012-08-23 12:57:34,2012-08-23 13:02:48,1,1,3,3,,1,1,,,,,,,,1,1,3,3,2,1,3,1,1,2,1,2,2,1,1,2,2,2,2,2,,1,1,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,,
R_3CRnOmaV9spHkSF,Default Response Set,Anonymous,,,75.164.246.70,0,2012-08-23 13:11:34,2012-08-23 13:14:46,1,1,3,3,,,,,,,,,1,evolutionary genetics,1,1,2,3,1,2,2,3,1,2,1,1,1,1,1,2,2,2,2,2,,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,,
R_8l7KGASM139aw9T,Default Response Set,Anonymous,,,128.114.44.159,0,2012-08-23 13:19:48,2012-08-23 13:28:46,1,1,3,1,,,,1,1,,,,,,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_ebQig4mYDfUhAQ5,Default Response Set,Anonymous,,,206.212.13.242,0,2012-08-23 13:36:06,2012-08-23 13:40:41,1,1,3,3,,1,,1,,,1,,,,1,1,2,3,1,1,3,2,2,2,1,2,2,1,1,3,2,3,3,2,,1,1,2,2,1,1,3,2,2,1,1,1,2,1,1,3,2,1,2,1,,
R_07HWS9Sys66QBed,Default Response Set,Anonymous,,,129.186.229.193,0,2012-08-23 14:00:16,2012-08-23 14:08:52,1,1,3,3,,,1,,,,,1,,,1,3,1,1,1,1,3,2,2,2,1,1,1,2,1,,1,1,1,1,Highest priority is what makes the tree reproducible because if I can reproduce it (even if I don't) then I know everything I need to interpret it.,1,2,1,1,1,1,3,2,1,2,1,1,1,2,1,2,1,1,1,1,"Ones labeled medium may be difficult, depending on size of tree.",
R_cJd2woYTJsXe6Lb,Default Response Set,Anonymous,,,80.189.89.135,0,2012-08-23 14:40:42,2012-08-23 14:44:24,1,1,3,3,,,,,,,,1,,,1,1,3,3,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,,
R_eCLjofo1GSxBElD,Default Response Set,Anonymous,,,121.72.235.99,0,2012-08-23 16:06:23,2012-08-23 16:12:41,1,1,3,4,Govt. Research,1,,,,1,,,,,1,1,3,1,2,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"specimen metadata is easy when its your own data. The issue is provding that for other, genbank sourced data included in the analysis. Genbank metadata is, and always has been, lacking standards and poorly managed.",
R_1zB5Fk88fcPO84d,Default Response Set,Anonymous,,,213.173.227.110,0,2012-08-23 16:24:55,2012-08-23 16:30:34,1,1,3,2,,,,,1,,,1,,,1,3,3,3,3,1,3,2,3,2,1,2,3,1,1,3,3,3,3,2,,1,3,3,3,1,1,3,1,1,1,1,1,2,1,1,2,2,1,2,1,"Geographic coordinates are many times impossible for microbiological samples, such as type strains. Metagenomic analysis would make the first two questions near impossible to completely comply with, if required for each tip. Also, visualization of the entire tree of 10,000 becomes problematic; therefore, text labels would not work.",
R_6fhIhkBCsPNuFQ9,Default Response Set,Anonymous,,,24.237.37.1,0,2012-08-23 17:47:36,2012-08-23 17:51:53,1,1,3,3,,,,,,,,,1,molecular evolution,1,1,1,2,3,3,1,2,2,3,3,3,3,1,1,2,3,3,3,3,,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,2,2,2,2,2,,
R_3IeVEnpsgrvdaId,Default Response Set,Anonymous,,,79.23.198.152,0,2012-08-23 18:28:27,2012-08-23 18:30:25,1,1,2,1,,,,,,,,1,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
R_e9kjpVh3be0VoZD,Default Response Set,Anonymous,,,173.167.252.193,0,2012-08-23 20:32:19,2012-08-23 20:35:53,1,1,3,3,,1,1,,,,,,,,1,1,3,1,2,1,2,1,1,1,1,3,1,1,1,2,3,3,3,2,,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_3q2ipOoJPaTrOf3,Default Response Set,Anonymous,,,50.105.2.177,0,2012-08-24 00:10:13,2012-08-24 00:16:35,1,1,2,4,Research Staff,,,,,1,,,1,Bioinformatics,1,1,2,3,1,1,3,2,2,3,1,2,2,1,1,3,2,1,2,2,,1,,,,,,,,,,,,,,,,,,,,,
R_bfMaPJuSYXSBCYd,Default Response Set,Anonymous,,,119.201.25.107,0,2012-08-24 00:57:19,2012-08-24 01:06:38,1,1,3,3,,,,,,1,1,,,,1,1,2,2,2,1,3,2,2,2,1,1,2,2,2,3,3,3,3,3,The context of use dictates the granularity of information required. Some use cases don't require all the critical information. ,1,2,2,2,1,1,3,1,1,1,1,1,2,2,1,3,2,1,2,1,,
R_735w0aeBT9ZPbal,Default Response Set,Anonymous,,,182.0.135.186,0,2012-08-24 01:36:07,2012-08-24 01:40:39,1,1,3,4,Researcher,,,,1,1,,,,,1,1,2,1,3,3,3,2,1,3,3,3,3,3,2,2,3,2,3,2,,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,,
R_d769PxWsAfhOGUJ,Default Response Set,Anonymous,,,130.223.128.12,0,2012-08-24 05:39:00,2012-08-24 05:43:37,1,1,3,3,,,1,,,,,1,,,1,1,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,,1,1,2,3,2,2,3,2,3,3,2,3,2,2,2,3,3,3,3,3,,
R_6yQu1Zx0H0lnpyd,Default Response Set,Anonymous,,,78.22.97.254,0,2012-08-24 06:13:00,2012-08-24 06:17:23,1,1,3,3,,1,,1,1,,1,,,,1,3,2,2,3,3,1,1,1,3,2,2,3,1,2,3,3,3,3,3,,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_2oaFafXWBFDG0fz,Default Response Set,Anonymous,,,177.139.200.58,0,2012-08-24 07:11:33,2012-08-24 07:19:34,1,1,3,2,,1,,,,1,,,,,1,1,1,3,3,2,1,1,1,1,2,2,3,3,3,1,2,2,2,2,,1,1,3,2,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,"Linking tips to a database could be quite easy if the database exists, but I belive would currently require creating a database entry.  This  / Much of the alignment and tree building parameter information will be lost for older trees, but easy to gather for new analyses.  It is important for scientists to realize the importance of saving parameters and tracking versions. ",
R_5ABuRllUtHYXUqh,Default Response Set,Anonymous,,,108.238.189.243,0,2012-08-24 07:41:04,2012-08-24 07:56:38,1,1,3,2,,1,1,1,1,,,,,,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,2,2,"Information about why they chose the phylogenetic method in questions. That is, did they perform model testing? Obviously this is only possible for smaller data sets very large data would just use RAxML or FastTree.",1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_0Au3a2XcZ3JsU1n,Default Response Set,Anonymous,,,129.186.237.9,0,2012-08-24 08:19:37,2012-08-24 08:26:53,1,1,3,3,,1,,1,,,,,,,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_3jUZRQzpC0i1hM9,Default Response Set,Anonymous,,,89.150.73.13,0,2012-08-24 08:41:59,2012-08-24 08:45:39,1,1,3,3,,,1,,,,,1,,,1,1,2,1,1,1,3,1,1,1,1,1,1,2,2,3,2,2,2,1,,1,1,2,2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,,
R_2fnXjpT2aOQ5kyx,Default Response Set,Anonymous,,,190.42.122.6,0,2012-08-24 09:32:37,2012-08-24 09:46:29,1,1,3,1,,,,1,1,,,,,,1,1,1,3,2,2,1,2,3,3,2,2,2,2,3,3,2,2,3,2,"This survey wasnt clear as to whether the data above should be ON THE TREE (or caption) or somewhere on the poliblucation (materials and methods), or even in sequence metadata (genbank). I answered the above as though it referred to data availability in general, as long as the data are available.  /  / A field I would add: how sequences are clustered on the tree (OTUs, or grouped by taxon level, etc) and how this was done. I have yet to see a publication fail to mention this, but it is very important to include. ",1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,The ease of inputting these data depends entirely on the author's bioinformatics skill. Most of these data can easily be extracted from a properly maintained sequence database (eg. Arb). ,
R_daRIyMNxwXBtVn7,Default Response Set,Anonymous,,,108.7.60.90,0,2012-08-24 10:20:58,2012-08-24 10:25:14,1,1,3,3,,1,,1,,,,,,,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_8uJiMFgA1q0HUDb,Default Response Set,Anonymous,,,91.224.174.71,0,2012-08-24 10:40:44,2012-08-24 10:45:02,1,1,3,3,,,,,,1,,1,,,1,3,1,3,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,Links both to sequence and taxonomy databases /  / Overall this looks really good and will help the field a lot if adopted.,1,2,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,Name and contact info for person who made the tree and the PI,
R_3KODVoszgXHhfmJ,Default Response Set,Anonymous,,,194.210.251.248,0,2012-08-24 11:11:04,2012-08-24 11:23:27,1,1,3,2,,1,1,,,,,,,,1,1,2,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,"Opinion of the author of the tree about it's degree of accuracy: something more personal than support values, and at a meta level.",1,1,2,3,1,2,3,2,2,2,2,2,2,2,2,3,3,3,3,3,"Many information cannot really be standardised, because you will encounter exceptions that don't fit in the format decided by the standardisation committee.",
R_bdvIo0IrwNgCNRX,Default Response Set,Anonymous,,,152.3.59.111,0,2012-08-24 11:32:14,2012-08-24 11:35:52,1,1,3,4,staff,,1,,,,,,,,1,1,2,3,2,2,3,2,2,2,2,2,2,1,1,3,3,3,3,3,,1,1,2,3,1,1,3,1,2,1,1,2,1,1,2,1,2,2,3,2,,
R_8q89II1xSdROAq9,Default Response Set,Anonymous,,,128.138.64.108,0,2012-08-24 12:11:23,2012-08-24 12:15:11,1,1,2,1,,,,,,1,,,,,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,,
R_8CSm84oeSTMAZmZ,Default Response Set,Anonymous,,,128.138.64.202,0,2012-08-24 13:22:54,2012-08-24 13:27:30,1,1,3,3,,1,1,,,,1,1,,,1,1,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_bIsnRD3qEQe2AxD,Default Response Set,Anonymous,,,83.85.13.27,0,2012-08-24 15:38:03,2012-08-24 15:43:33,1,1,3,4,honorary scientist (postdoc),,1,1,,,,,,,1,1,2,3,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,2,2,1,1,,
R_cCT5scehw44KZCd,Default Response Set,Anonymous,,,198.11.27.13,0,2012-08-24 17:15:38,2012-08-24 17:19:21,1,1,3,1,,,,,1,,1,,,,1,3,1,1,1,2,1,1,1,3,3,1,1,2,2,2,2,1,1,1,,1,1,1,3,1,1,3,1,1,3,1,1,1,1,1,3,1,1,1,1,,
R_3PpZIneFeYe0ZYF,Default Response Set,Anonymous,,,92.76.242.60,0,2012-08-24 17:36:22,2012-08-24 17:38:16,1,1,3,2,,1,1,1,1,1,1,1,,,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_7VhvomrodubEyax,Default Response Set,Anonymous,,,24.54.244.54,0,2012-08-25 00:24:49,2012-08-25 00:50:40,1,1,3,4,Early Professional,1,,1,,1,,,,,1,1,2,3,3,1,2,1,1,1,1,2,2,1,1,3,2,2,2,1,"When calculated using parsimony, L, Ci and Ri are critical, as well as the weighting scheme.",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,
R_3yBImQ0uObpOQ0l,Default Response Set,Anonymous,,,12.13.14.15,0,2012-08-25 18:41:49,2012-08-25 18:46:51,1,1,3,2,,1,,1,,,,,,,1,1,3,3,3,1,3,1,1,1,1,3,3,1,1,3,3,3,3,3,,1,2,3,3,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,,
R_9NdyvpIEXK0sl6t,Default Response Set,Anonymous,,,108.65.76.155,0,2012-08-27 00:17:02,2012-08-27 00:23:42,1,1,2,4,,1,,,,1,,,,,1,2,1,1,1,2,3,2,,1,1,3,2,2,3,2,3,3,3,3,"This question is ambiguous: ""The source of biological material (tissue, specimen, etc) for data at the tips"". It is critically important that there ultimately be a way to trace the tip of the tree to a specific specimen or observation record. ",1,,,,,,,,,,,,,,,,,,,,,
R_9vIYt7ApFiIlpRP,Default Response Set,Anonymous,,,130.102.82.185,0,2012-08-27 01:45:51,2012-08-27 01:51:19,1,1,3,1,,1,1,,,,1,,,,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_eRRP76cBaf7vQeV,Default Response Set,Anonymous,,,88.103.118.139,0,2012-08-27 01:58:55,2012-08-27 02:03:01,1,1,3,3,,1,1,,,,,,,,1,1,3,3,3,1,2,1,1,2,1,3,3,1,2,3,2,3,3,2,,1,1,3,3,1,1,3,1,1,1,1,2,1,1,1,3,3,3,3,3,,
R_6osrnkK9c4eIDVr,Default Response Set,Anonymous,,,193.137.94.3,0,2012-08-27 04:51:21,2012-08-27 04:55:39,1,1,3,2,,,,,,,,1,1,Evolutionary genetics,1,1,2,3,1,1,3,2,1,2,1,1,2,1,1,2,2,2,2,2,,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,,
R_3g6gfPXOCPecG33,Default Response Set,Anonymous,,,178.192.91.186,0,2012-08-28 03:47:34,2012-08-28 03:53:39,1,1,1,2,,,1,,,,,1,,,1,1,2,2,,1,3,2,2,2,1,1,1,1,1,3,2,1,1,1,,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,,
R_6s934jiaQlEWI9n,Default Response Set,Anonymous,,,129.132.12.131,0,2012-08-28 03:55:49,2012-08-28 03:58:47,1,1,3,1,,,1,,,,,,,,1,2,1,3,2,1,3,1,1,1,1,2,1,2,1,3,1,2,1,1,,1,1,1,3,1,1,3,1,1,1,1,1,1,2,1,2,1,1,1,1,,
R_0uDcA52zXXEsDEV,Default Response Set,Anonymous,,,86.26.155.241,0,2012-08-28 17:37:26,2012-08-28 17:41:13,1,1,3,2,,,1,,,,,,,,1,1,3,3,2,2,2,1,1,3,1,2,2,1,1,3,3,3,3,1,,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,,
R_018TU3PZvqNS3vn,Default Response Set,Anonymous,,,193.62.194.253,0,2012-08-29 03:48:08,2012-08-29 03:54:24,1,1,3,4,Biodiversity Informatician,,1,,,1,1,1,1,Conservation,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,1,1,2,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,,
R_e3ADuLWRZa7G2yx,Default Response Set,Anonymous,,,216.73.252.101,0,2012-08-29 13:32:10,2012-08-29 13:34:52,1,1,3,3,,1,,,,,1,,,,1,1,2,3,3,1,3,1,2,1,1,1,1,2,2,2,2,3,2,2,,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_8oCPtW5JkqbTZbL,Default Response Set,Anonymous,,,147.91.1.41,0,2012-08-23 04:54:59,2012-08-23 04:56:35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7OKMcrAsBDwoZmt,Default Response Set,Anonymous,,,194.254.169.210,0,2012-08-23 05:21:17,2012-08-23 05:23:10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9tcksGGirVL4Zvv,Default Response Set,Anonymous,,,97.123.87.125,0,2012-08-23 12:25:57,2012-08-23 12:31:09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_blTq0ZhPptpeNNz,Default Response Set,Anonymous,,,152.3.58.175,0,2012-08-30 13:22:07,2012-08-30 13:25:31,1,1,3,3,,,,,,,,1,,,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,,
R_268x5Hze4iCVldP,Default Response Set,Anonymous,,,198.11.27.24,0,2012-08-30 15:23:24,2012-08-30 15:28:42,1,1,3,2,,,,,,1,,1,,,1,1,2,1,3,3,2,1,3,2,2,2,2,3,3,3,2,2,2,2,,1,2,1,1,1,1,2,1,1,1,1,1,1,3,3,3,1,1,1,1,,
R_1NT9gLdzyi0EYiV,Default Response Set,Anonymous,,,199.106.195.8,0,2012-09-03 12:50:37,2012-09-03 13:06:34,1,1,3,4,Research technician,,,1,,,1,,,,1,1,3,3,2,1,2,1,1,3,1,1,1,1,1,3,2,1,1,1,,1,1,2,2,1,1,3,1,1,2,1,1,1,1,1,2,1,1,1,1,,
R_bp8fxHn7pqtCpTL,Default Response Set,Anonymous,,,129.194.96.23,0,2012-09-04 12:49:17,2012-09-04 12:51:57,1,1,1,1,,1,1,,,,,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
R_39PIs1cqoTlHOh7,Default Response Set,Anonymous,,,192.134.152.163,0,2012-09-05 10:19:19,2012-09-05 10:23:03,1,1,3,3,,1,1,1,,,,,,,1,2,3,3,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,1,No,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,No,
R_cZssJznTBYnZJqZ,Default Response Set,Anonymous,,,152.77.24.38,0,2012-09-06 11:33:06,2012-09-06 11:38:40,1,1,3,2,,1,,1,,,,,,,1,1,2,2,1,1,3,1,1,2,1,2,1,1,1,2,1,1,1,2,,1,1,2,2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,2,1,,
R_cw4iUdmIaJayul7,Default Response Set,Anonymous,,,92.76.173.134,0,2012-09-08 06:53:41,2012-09-08 07:00:12,1,1,3,2,,,,1,,,,,1,macroevolution,1,1,3,2,3,2,3,2,1,3,2,3,3,1,2,3,2,3,3,2,"Tip labels should be not just informative, but should identify tip specimen to at least species level, with species author.",1,2,3,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,,
R_6JNQdawicvAXoxv,Default Response Set,Anonymous,,,136.160.32.220,0,2012-09-11 10:31:37,2012-09-11 10:36:43,1,1,3,3,,,,,,,,,1,molecular evolution,1,1,2,2,2,2,3,1,3,3,3,3,3,1,3,3,3,3,3,3,,1,2,2,2,1,1,3,1,2,1,2,1,1,1,1,2,2,1,1,1,,
R_egtzEXHW3zygrrf,Default Response Set,Anonymous,,,175.136.91.125,0,2012-09-29 10:19:50,2012-09-29 10:37:57,1,1,3,1,,,1,,,1,,,,,1,2,2,1,3,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
R_9QZB4EoThhNlbo1,Default Response Set,Anonymous,,,130.223.2.104,0,2013-01-15 13:32:47,2013-01-15 13:34:59,1,1,1,3,,1,,1,1,1,1,1,,,1,1,1,1,3,2,1,3,3,3,1,1,1,1,1,1,1,2,2,1,no quite exhaustive,1,1,1,2,1,3,3,2,2,2,3,2,2,2,2,3,3,2,2,2,,
R_9t3JDH9tC9anqZf,Default Response Set,Anonymous,,,130.223.145.11,0,2013-01-18 05:35:10,2013-01-18 05:41:23,1,1,3,3,,,,,,,,1,1,molecular evolution,1,1,2,3,3,2,3,2,1,1,1,2,2,2,1,2,2,2,2,1,,1,2,3,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,
